ip_from,ip_to,country_code,country,region,city,latitude,longitude,zip_code,time_zone,isp,domain,net_speed,idd_code,area_code,weather_station_code,weather_station_name,mcc,mnc,mobile_brand,elevation,ip_from_inet,ip_to_inet,ip_count,cidr,insert_ts
17383168,17383935,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.63.0,1.9.65.255,768,"{1.9.63.0/24,1.9.64.0/23}",2023-01-03
17383936,17384191,MY,Malaysia,Kedah,Pulau Langkawi,6.35,99.8,07000,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,04,MYXX0032,Langkawi,502,153,unifi,59,1.9.66.0,1.9.66.255,256,{1.9.66.0/24},2023-01-26
17384192,17384335,MY,Malaysia,Kedah,Kuah,6.32649,99.8432,07000,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,04,MYXX0032,Langkawi,502,153,unifi,13,1.9.67.0,1.9.67.143,144,"{1.9.67.0/25,1.9.67.128/28}",2023-01-25
17384336,17384351,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,Vitrox Technologies Sdn Bhd,webe.com.my,COMP,60,03,MYXX0008,Kuala Lumpur,-,-,-,59,1.9.67.144,1.9.67.159,16,{1.9.67.144/28},2023-01-21
17384352,17384703,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.67.160,1.9.68.255,352,"{1.9.67.160/27,1.9.67.192/26,1.9.68.0/24}",2023-02-28
17384704,17385087,MY,Malaysia,Pulau Pinang,George Town,5.41146,100.33543,10300,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,04,MYXX0002,George Town,502,153,unifi,2,1.9.69.0,1.9.70.127,384,"{1.9.69.0/24,1.9.70.0/25}",2023-02-20
17385088,17385103,MY,Malaysia,Pulau Pinang,George Town,5.41146,100.33543,10300,+08:00,Muda Paper Mills Sdn. Bhd.,webe.com.my,COMP,60,04,MYXX0002,George Town,-,-,-,2,1.9.70.128,1.9.70.143,16,{1.9.70.128/28},2023-01-07
17385104,17385215,MY,Malaysia,Pulau Pinang,George Town,5.41146,100.33543,10300,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,04,MYXX0002,George Town,502,153,unifi,2,1.9.70.144,1.9.70.255,112,"{1.9.70.144/28,1.9.70.160/27,1.9.70.192/26}",2023-02-01
17385216,17385727,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.71.0,1.9.72.255,512,"{1.9.71.0/24,1.9.72.0/24}",2023-01-19
17385728,17385983,MY,Malaysia,Perak,Ipoh,4.584103,101.082954,31400,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,05,MYXX0003,Ipoh,502,153,unifi,42,1.9.73.0,1.9.73.255,256,{1.9.73.0/24},2023-02-10
17385984,17386239,MY,Malaysia,Perak,Kuala Kangsar,4.76667,100.93333,33000,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,05,MYXX0003,Ipoh,502,153,unifi,38,1.9.74.0,1.9.74.255,256,{1.9.74.0/24},2023-01-22
17386240,17386495,MY,Malaysia,Perak,Ipoh,4.584103,101.082954,31400,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,05,MYXX0003,Ipoh,502,153,unifi,42,1.9.75.0,1.9.75.255,256,{1.9.75.0/24},2023-01-05
17386496,17386751,MY,Malaysia,Kedah,Kuah,6.32649,99.8432,07000,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,04,MYXX0032,Langkawi,502,153,unifi,13,1.9.76.0,1.9.76.255,256,{1.9.76.0/24},2023-01-18
17386752,17387007,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.77.0,1.9.77.255,256,{1.9.77.0/24},2023-02-20
17387008,17387263,MY,Malaysia,Perak,Sitiawan,4.216667,100.7,32000,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,05,MYXX0024,Sitiawan,502,153,unifi,8,1.9.78.0,1.9.78.255,256,{1.9.78.0/24},2023-02-14
17387264,17387519,MY,Malaysia,Pulau Pinang,George Town,5.41146,100.33543,10300,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,04,MYXX0002,George Town,502,153,unifi,2,1.9.79.0,1.9.79.255,256,{1.9.79.0/24},2023-02-10
17387520,17387775,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.80.0,1.9.80.255,256,{1.9.80.0/24},2023-02-14
17387776,17388287,MY,Malaysia,Kedah,Alor Setar,6.12104,100.36014,05000,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,04,MYXX0032,Langkawi,502,153,unifi,3,1.9.81.0,1.9.82.255,512,"{1.9.81.0/24,1.9.82.0/24}",2023-02-08
17388288,17388543,MY,Malaysia,Pulau Pinang,George Town,5.41146,100.33543,10300,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,04,MYXX0002,George Town,502,153,unifi,2,1.9.83.0,1.9.83.255,256,{1.9.83.0/24},2023-02-06
17388544,17388799,MY,Malaysia,Perak,Taiping,4.85,100.73333,34000,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,05,MYXX0003,Ipoh,502,153,unifi,18,1.9.84.0,1.9.84.255,256,{1.9.84.0/24},2023-01-26
17388800,17389055,MY,Malaysia,Pulau Pinang,Bayan Lepas,5.283333,100.26667,11900,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,04,MYXX0022,Penang/Bayan Lepas,502,153,unifi,2,1.9.85.0,1.9.85.255,256,{1.9.85.0/24},2023-02-27
17389056,17389567,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.86.0,1.9.87.255,512,{1.9.86.0/23},2023-01-30
17389568,17389823,MY,Malaysia,Terengganu,Kuala Terengganu,5.3302,103.1408,20300,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,09,MYXX0009,Kuala Terengganu,502,153,unifi,7,1.9.88.0,1.9.88.255,256,{1.9.88.0/24},2023-02-09
17389824,17390591,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.89.0,1.9.91.255,768,"{1.9.89.0/24,1.9.90.0/23}",2023-01-18
17390592,17390847,MY,Malaysia,Johor,Kluang,2.0251,103.3328,86000,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,07,MYXX0001,Batu Pahat,502,153,unifi,58,1.9.92.0,1.9.92.255,256,{1.9.92.0/24},2023-02-18
17390848,17391359,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,03,MYXX0008,Kuala Lumpur,502,153,unifi,59,1.9.93.0,1.9.94.255,512,"{1.9.93.0/24,1.9.94.0/24}",2023-02-17
17391360,17391615,MY,Malaysia,Melaka,Melaka,2.205733,102.25581,77000,+08:00,TM Technology Services Sdn. Bhd.,webe.com.my,DSL,60,06,MYXX0013,Melaka,502,153,unifi,4,1.9.95.0,1.9.95.255,256,{1.9.95.0/24},2023-02-17
17391616,17391871,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0008,Kuala Lumpur,-,-,-,59,1.9.96.0,1.9.96.255,256,{1.9.96.0/24},2023-02-22
17391872,17392127,MY,Malaysia,Melaka,Melaka,2.205733,102.25581,77000,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,06,MYXX0013,Melaka,-,-,-,4,1.9.97.0,1.9.97.255,256,{1.9.97.0/24},2023-02-01
17392128,17392639,MY,Malaysia,Pahang,Bentong Town,3.51667,101.9,28700,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0008,Kuala Lumpur,-,-,-,166,1.9.98.0,1.9.99.255,512,{1.9.98.0/23},2023-02-17
17392640,17392895,MY,Malaysia,Perak,Sitiawan,4.216667,100.7,32000,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,05,MYXX0024,Sitiawan,-,-,-,8,1.9.100.0,1.9.100.255,256,{1.9.100.0/24},2023-01-22
17392896,17393151,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Petaling,3.08333,101.66667,50480,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0008,Kuala Lumpur,-,-,-,18,1.9.101.0,1.9.101.255,256,{1.9.101.0/24},2023-02-28
17393152,17393407,MY,Malaysia,Pahang,Kuantan,3.8077,103.326,25000,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0010,Kuantan,-,-,-,5,1.9.102.0,1.9.102.255,256,{1.9.102.0/24},2023-02-14
17393408,17393663,MY,Malaysia,Perak,Sitiawan,4.216667,100.7,32000,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,05,MYXX0024,Sitiawan,-,-,-,8,1.9.103.0,1.9.103.255,256,{1.9.103.0/24},2023-02-14
